lv,price,production_p
234,57482,234
235,57769,235
236,58058,236
237,58348,237
238,58640,238
239,58933,239
240,59228,240
241,59524,241
242,59822,242
243,60121,243
244,60422,244
245,60724,245
246,61028,246
247,61333,247
248,61640,248
249,61948,249
250,62258,250
251,62569,251
252,62882,252
253,63196,253
254,63512,254
255,63830,255
256,64149,256
257,64470,257
258,64792,258
259,65116,259
260,65442,260
261,65769,261
262,66098,262
263,66428,263
264,66760,264
265,67094,265
266,67429,266
267,67766,267
268,68105,268
269,68446,269
270,68788,270
271,69132,271
272,69478,272
273,69825,273
274,70174,274
275,70525,275
276,70878,276
277,71232,277
278,71588,278
279,71946,279
280,72306,280
281,72668,281
282,73031,282
283,73396,283
284,73763,284
285,74132,285
286,74503,286
287,74876,287
288,75250,288
289,75626,289
290,76004,290
291,76384,291
292,76766,292
293,77150,293
294,77536,294
295,77924,295
296,78314,296
297,78706,297
298,79100,298
299,79496,299
300,79734,300
301,79973,301
302,80213,302
303,80454,303
304,80695,304
305,80937,305
306,81180,306
307,81424,307
308,81668,308
309,81913,309
310,82159,310
311,82405,311
312,82652,312
313,82900,313
314,83149,314
315,83398,315
316,83648,316
317,83899,317
318,84151,318
319,84403,319
320,84656,320
321,84910,321
322,85165,322
323,85420,323
324,85676,324
325,85933,325
326,86191,326
327,86450,327
328,86709,328
329,86969,329
330,87230,330
331,87492,331
332,87754,332
333,88017,333
334,88281,334
335,88546,335
336,88812,336
337,89078,337
338,89345,338
339,89613,339
340,89882,340
341,90152,341
342,90422,342
343,90693,343
344,90965,344
345,91238,345
346,91512,346
347,91787,347
348,92062,348
349,92338,349
350,92615,350
351,92893,351
352,93172,352
353,93452,353
354,93732,354
355,94013,355
356,94295,356
357,94578,357
358,94862,358
359,95147,359
360,95432,360
361,95718,361
362,96005,362
363,96293,363
364,96582,364
365,96872,365
366,97163,366
367,97454,367
368,97746,368
369,98039,369
370,98333,370
371,98628,371
372,98924,372
373,99221,373
374,99519,374
375,99818,375
376,100117,376
377,100417,377
378,100718,378
379,101020,379
380,101323,380
381,101627,381
382,101932,382
383,102238,383
384,102545,384
385,102853,385
386,103162,386
387,103471,387
388,103781,388
389,104092,389
390,104404,390
391,104717,391
392,105031,392
393,105346,393
394,105662,394
395,105979,395
396,106297,396
397,106616,397
398,106936,398
399,107257,399
400,107579,400
401,107902,401
402,108226,402
403,108551,403
404,108877,404
405,109204,405
406,109532,406
407,109861,407
408,110191,408
409,110522,409
410,110854,410
411,111187,411
412,111521,412
413,111856,413
414,112192,414
415,112529,415
416,112867,416
417,113206,417
418,113546,418
419,113887,419
420,114229,420
421,114572,421
422,114916,422
423,115261,423
424,115607,424
425,115954,425
426,116302,426
427,116651,427
428,117001,428
429,117352,429
430,117704,430
431,118057,431
432,118411,432
433,118766,433
434,119122,434
435,119479,435
436,119837,436
437,120197,437
438,120558,438
439,120920,439
440,121283,440
441,121647,441
442,122012,442
443,122378,443
444,122745,444
445,123113,445
446,123482,446
447,123852,447
448,124224,448
449,124597,449
450,124971,450
451,125346,451
452,125722,452
453,126099,453
454,126477,454
455,126856,455
456,127237,456
457,127619,457
458,128002,458
459,128386,459
460,128771,460
461,129157,461
462,129544,462
463,129933,463
464,130323,464
465,130714,465
466,131106,466
467,131499,467
468,131893,468
469,132289,469
470,132686,470
471,133084,471
472,133483,472
473,133883,473
474,134285,474
475,134688,475
476,135092,476
477,135497,477
478,135903,478
479,136311,479
480,136720,480
481,137130,481
482,137541,482
483,137954,483
484,138368,484
485,138783,485
486,139199,486
487,139617,487
488,140036,488
489,140456,489
490,140877,490
491,141300,491
492,141724,492
493,142149,493
494,142575,494
495,143003,495
496,143432,496
497,143862,497
498,144294,498
499,144727,499
500,145161,500
501,145596,501
502,146033,502
503,146471,503
504,146910,504
505,147351,505
506,147793,506
507,148236,507
508,148681,508
509,149127,509
510,149574,510
511,150023,511
512,150473,512
513,150924,513
514,151377,514
515,151831,515
516,152286,516
517,152743,517
518,153201,518
519,153661,519
520,154122,520
521,154584,521
522,155048,522
523,155513,523
524,155980,524
525,156448,525
526,156917,526
527,157388,527
528,157860,528
529,158334,529
530,158809,530
531,159285,531
532,159763,532
533,160242,533
534,160723,534
535,161205,535
536,161689,536
537,162174,537
538,162661,538
539,163149,539
540,163638,540
541,164129,541
542,164621,542
543,165115,543
544,165610,544
545,166107,545
546,166605,546
547,167105,547
548,167606,548
549,168109,549
550,168613,550
551,169119,551
552,169626,552
553,170135,553
554,170645,554
555,171157,555
556,171670,556
557,172185,557
558,172702,558
559,173220,559
560,173740,560
561,174261,561
562,174784,562
563,175308,563
564,175834,564
565,176362,565
566,176891,566
567,177422,567
568,177954,568
569,178488,569
570,179023,570
571,179560,571
572,180099,572
573,180639,573
574,181181,574
575,181725,575
576,182270,576
577,182817,577
578,183365,578
579,183915,579
580,184467,580
581,185020,581
582,185575,582
583,186132,583
584,186690,584
585,187250,585
586,187812,586
587,188375,587
588,188940,588
589,189507,589
590,190076,590
591,190646,591
592,191218,592
593,191792,593
594,192367,594
595,192944,595
596,193523,596
597,194104,597
598,194686,598
599,195270,599
600,195856,600
601,196444,601
602,197033,602
603,197624,603
604,198217,604
605,198812,605
606,199408,606
607,200006,607
608,200606,608
609,201208,609
610,201812,610
611,202417,611
612,203024,612
613,203633,613
614,204244,614
615,204857,615
616,205472,616
617,206088,617
618,206706,618
619,207326,619
620,207948,620
621,208572,621
622,209198,622
623,209826,623
624,210455,624
625,211086,625
626,211719,626
627,212354,627
628,212991,628
629,213630,629
630,214271,630
631,214914,631
632,215559,632
633,216206,633
634,216855,634
635,217506,635
636,218159,636
637,218813,637
638,219469,638
639,220127,639
640,220787,640
641,221449,641
642,222113,642
643,222779,643
644,223447,644
645,224117,645
646,224789,646
647,225463,647
648,226139,648
649,226817,649
650,227497,650
651,228179,651
652,228864,652
653,229551,653
654,230240,654
655,230931,655
656,231624,656
657,232319,657
658,233016,658
659,233715,659
660,234416,660
661,235119,661
662,235824,662
663,236531,663
664,237241,664
665,237953,665
666,238667,666
667,239383,667
668,240101,668
669,240821,669
670,241543,670
671,242268,671
672,242995,672
673,243724,673
674,244455,674
675,245188,675
676,245924,676
677,246662,677
678,247402,678
679,248144,679
680,248888,680
681,249635,681
682,250384,682
683,251135,683
684,251888,684
685,252644,685
686,253402,686
687,254162,687
688,254924,688
689,255689,689
690,256456,690
691,257225,691
692,257997,692
693,258771,693
694,259547,694
695,260326,695
696,261107,696
697,261890,697
698,262676,698
699,263464,699
700,264254,700
701,265047,701
702,265842,702
703,266640,703
704,267440,704
705,268242,705
706,269047,706
707,269854,707
708,270664,708
709,271476,709
710,272290,710
711,273107,711
712,273926,712
713,274748,713
714,275572,714
715,276399,715
716,277228,716
717,278060,717
718,278894,718
719,279731,719
720,280570,720
721,281412,721
722,282256,722
723,283103,723
724,283952,724
725,284804,725
726,285658,726
727,286515,727
728,287375,728
729,288237,729
730,289102,730
731,289969,731
732,290839,732
733,291712,733
734,292587,734
735,293465,735
736,294345,736
737,295228,737
738,296114,738
739,297002,739
740,297893,740
741,298787,741
742,299683,742
743,300582,743
744,301484,744
745,302388,745
746,303295,746
747,304205,747
748,305118,748
749,306033,749
750,306951,750
751,307872,751
752,308796,752
753,309722,753
754,310651,754
755,311583,755
756,312518,756
757,313456,757
758,314396,758
759,315339,759
760,316285,760
761,317234,761
762,318186,762
763,319141,763
764,320098,764
765,321058,765
766,322021,766
767,322987,767
768,323956,768
769,324928,769
770,325903,770
771,326881,771
772,327862,772
773,328846,773
774,329833,774
775,330822,775
776,331814,776
777,332809,777
778,333807,778
779,334808,779
780,335812,780
781,336819,781
782,337829,782
783,338842,783
784,339859,784
785,340879,785
786,341902,786
787,342928,787
788,343957,788
789,344989,789
790,346024,790
791,347062,791
792,348103,792
793,349147,793
794,350194,794
795,351245,795
796,352299,796
797,353356,797
798,354416,798
799,355479,799
800,356545,800
801,357615,801
802,358688,802
803,359764,803
804,360843,804
805,361926,805
806,363012,806
807,364101,807
808,365193,808
809,366289,809
810,367388,810
811,368490,811
812,369595,812
813,370704,813
814,371816,814
815,372931,815
816,374050,816
817,375172,817
818,376298,818
819,377427,819
820,378559,820
821,379695,821
822,380834,822
823,381977,823
824,383123,824
825,384272,825
826,385425,826
827,386581,827
828,387741,828
829,388904,829
830,390071,830
831,391241,831
832,392415,832
833,393592,833
834,394773,834
835,395957,835
836,397145,836
837,398336,837
838,399531,838
839,400730,839
840,401932,840
841,403138,841
842,404347,842
843,405560,843
844,406777,844
845,407997,845
846,409221,846
847,410449,847
848,411680,848
849,412915,849
850,414154,850
851,415396,851
852,416642,852
853,417892,853
854,419146,854
855,420403,855
856,421664,856
857,422929,857
858,424198,858
859,425471,859
860,426747,860
861,428027,861
862,429311,862
863,430599,863
864,431891,864
865,433187,865
866,434487,866
867,435790,867
868,437097,868
869,438408,869
870,439723,870
871,441042,871
872,442365,872
873,443692,873
874,445023,874
875,446358,875
876,447697,876
877,449040,877
878,450387,878
879,451738,879
880,453093,880
881,454452,881
882,455815,882
883,457182,883
884,458554,884
885,459930,885
886,461310,886
887,462694,887
888,464082,888
889,465474,889
890,466870,890
891,468271,891
892,469676,892
893,471085,893
894,472498,894
895,473915,895
896,475337,896
897,476763,897
898,478193,898
899,479628,899
900,481067,900
901,482510,901
902,483958,902
903,485410,903
904,486866,904
905,488327,905
906,489792,906
907,491261,907
908,492735,908
909,494213,909
910,495696,910
911,497183,911
912,498675,912
913,500171,913
914,501672,914
915,503177,915
916,504687,916
917,506201,917
918,507720,918
919,509243,919
920,510771,920
921,512303,921
922,513840,922
923,515382,923
924,516928,924
925,518479,925
926,520034,926
927,521594,927
928,523159,928
929,524728,929
930,526302,930
931,527881,931
932,529465,932
933,531053,933
934,532646,934
935,534244,935
936,535847,936
937,537455,937
938,539067,938
939,540684,939
940,542306,940
941,543933,941
942,545565,942
943,547202,943
944,548844,944
945,550491,945
946,552142,946
947,553798,947
948,555459,948
949,557125,949
950,558796,950
951,560472,951
952,562153,952
953,563839,953
954,565531,954
955,567228,955
956,568930,956
957,570637,957
958,572349,958
959,574066,959
960,575788,960
961,577515,961
962,579248,962
963,580986,963
964,582729,964
965,584477,965
966,586230,966
967,587989,967
968,589753,968
969,591522,969
970,593297,970
971,595077,971
972,596862,972
973,598653,973
974,600449,974
975,602250,975
976,604057,976
977,605869,977
978,607687,978
979,609510,979
980,611339,980
981,613173,981
982,615013,982
983,616858,983
984,618709,984
985,620565,985
986,622427,986
987,624294,987
988,626167,988
989,628046,989
990,629930,990
991,631820,991
992,633715,992
993,635616,993
994,637523,994
995,639436,995
996,641354,996
997,643278,997
998,645208,998
999,647144,999
